% Model,Untitled.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 4 2020, 22:43"
% Table,Table 2 - Global Evaluation 1
% v_f,E_m (GPa),G_m (GPa),E1_f (GPa),G12_f (GPa),loadcase,group.cp11,group.cp22,group.cp33,group.cp12,group.cp23,group.cp13,Resin Young's modulus (Pa),Resin shear modulus (Pa),"Fiber Young's modulus, 11 direction (Pa)","Fiber shear modulus, 12 direction (Pa)","Elasticity matrix, 11 component (N/m^2)","Elasticity matrix, 22 component (N/m^2)","Elasticity matrix, 44 component (N/m^2)"
0.71,7.680000000000001,2.3800000000000003,69,40,1,1,0,0,0,0,0,7.68E9,2.38E9,6.9E10,4.0E10,5.121706852617089E10,2.969485832699895E10,1.6455710547062443E10
0.54,9.84,2.35,67,48,1,1,0,0,0,0,0,9.84E9,2.35E9,6.7E10,4.8E10,4.07061885964685E10,2.279220234295883E10,1.2886876418352558E10
0.12,8.28,3.6300000000000003,98,10,1,1,0,0,0,0,0,8.279999999999999E9,3.63E9,9.8E10,1.0E10,1.9044358517534355E10,9.912860266384525E9,4.57335866609578E9
0.71,9.940000000000001,3.49,92,41,1,1,0,0,0,0,0,9.94E9,3.49E9,9.2E10,4.1E10,6.820242405815823E10,3.889065326952613E10,1.9091877698890694E10
0.27,8.71,1.62,92,12,1,1,0,0,0,0,0,8.71E9,1620000000,9.2E10,1.2E10,3.1197724786157898E10,1.3250780287542076E10,5.613661982218563E9
0.23,9.58,3.6100000000000003,108,38,1,1,0,0,0,0,0,9.58E9,3.61E9,1.08E11,3.8E10,3.2216021017430153E10,1.3679051063756258E10,6.873414051945706E9
0.24,7.930000000000001,2.71,81,25,1,1,0,0,0,0,0,7.93E9,2.71E9,8.1E10,2.5E10,2.5466351454359142E10,1.144079090832759E10,5.640270410088808E9
0.56,6.720000000000001,3.16,145,45,1,1,0,0,0,0,0,6.72E9,3.16E9,1.45E11,4.5E10,8.415626962439267E10,2.065167671939352E10,9.904334923087204E9
0.65,7.24,1.9500000000000002,149,18,1,1,0,0,0,0,0,7.24E9,1950000000,1.49E11,1.8E10,9.938336887263664E10,2.9494331451850697E10,9.38720428904193E9
0.09,9.08,1.3,58.00000000000001,12,1,1,0,0,0,0,0,9.08E9,1300000000,5.8E10,1.2E10,1.3481965290370808E10,1.0207588017375965E10,4.924268669984979E9
0.06,9.56,2.77,74,20,1,1,0,0,0,0,0,9.56E9,2.77E9,7.4E10,2.0E10,1.3425650754349266E10,1.036982653819698E10,5.145977061357145E9
0.75,7.760000000000001,2.4000000000000004,53,35,1,1,0,0,0,0,0,7.76E9,2.4E9,5.3E10,3.5E10,4.168992332939058E10,2.939914299236403E10,1.8075106013745644E10
0.33,9.100000000000001,3.5700000000000003,134,47,1,1,0,0,0,0,0,9.1E9,3.57E9,1.34E11,4.7E10,5.0315945759199356E10,1.5835238403852137E10,7.957520770691961E9
0.64,7.98,2.68,112,9,1,1,0,0,0,0,0,7.98E9,2.68E9,1.12E11,9.0E9,7.455234401668152E10,2.8663858029960163E10,6.632489689158908E9
0.1,8.36,2.31,138,29.000000000000004,1,1,0,0,0,0,0,8.359999999999999E9,2.31E9,1.38E11,2.9E10,2.132154204543171E10,9.767256243805141E9,4.856233941496604E9
0.64,8.03,4.65,129,9,1,1,0,0,0,0,0,8.029999999999999E9,4.65E9,1.29E11,9.0E9,8.545026971084602E10,2.98275829010398E10,6.649296425664928E9
0.07,9.770000000000001,3.7,96,45,1,1,0,0,0,0,0,9.77E9,3.7E9,9.6E10,4.5E10,1.5804930318171356E10,1.0797989620536459E10,5.468178391592829E9
0.34,8.520000000000001,3.08,60.00000000000001,24,1,1,0,0,0,0,0,8.52E9,3.08E9,6.0E10,2.4E10,2.602275231347813E10,1.3955796363010487E10,6.920855404852726E9
0.38,6.140000000000001,1.34,134,23,1,1,0,0,0,0,0,6.14E9,1340000000,1.34E11,2.3E10,5.472618903877824E10,1.2155734291894648E10,5.597570939142982E9
0.21,5.760000000000001,4.3500000000000005,123.00000000000001,42,1,1,0,0,0,0,0,5.76E9,4.35E9,1.23E11,4.2E10,3.037889018608188E10,8.168470074162536E9,4.1715247404501696E9
0.32,9.360000000000001,1.6600000000000001,142,48,1,1,0,0,0,0,0,9.36E9,1660000000,1.42E11,4.8E10,5.180371435491894E10,1.6013818259889585E10,8.03286672004877E9
0.32,7.930000000000001,4.3100000000000005,77,19,1,1,0,0,0,0,0,7.93E9,4.31E9,7.7E10,1.9E10,3.00318346666376E10,1.3057035122098064E10,6.070465184799244E9
0.65,9.91,1.24,90,39,1,1,0,0,0,0,0,9.91E9,1240000000,9.0E10,3.9E10,6.196814344696833E10,3.2248171603644886E10,1.5743511826419258E10
0.15,5.99,1.86,139,47,1,1,0,0,0,0,0,5.99E9,1860000000,1.39E11,4.7E10,2.5940276529622356E10,7.656271153131368E9,3.906677449358549E9
0.52,9.700000000000001,4.22,118.00000000000001,19,1,1,0,0,0,0,0,9.7E9,4.2199999999999995E9,1.18E11,1.9E10,6.6015614280736824E10,2.456522202948549E10,9.227978224147926E9
0.45,7.94,1.4100000000000001,103,37,1,1,0,0,0,0,0,7.94E9,1410000000,1.03E11,3.7E10,5.071646210597333E10,1.7385084507054966E10,8.549693684452574E9
0.14,5.2700000000000005,1.7100000000000002,76,21,1,1,0,0,0,0,0,5.27E9,1710000000,7.6E10,2.1E10,1.51715927825797E10,6.550321265524176E9,3.278589917328642E9
0.16,7.090000000000001,3.8000000000000003,114,45,1,1,0,0,0,0,0,7.09E9,3.8E9,1.14E11,4.5E10,2.4194551055112556E10,9.137116338908463E9,4.667426930297447E9
0.34,8.24,3.2800000000000002,56,46,1,1,0,0,0,0,0,8.24E9,3.28E9,5.6E10,4.6E10,2.4477984671925083E10,1.3428689307302526E10,7.403468844263779E9
0.06,7,3.85,112,42,1,1,0,0,0,0,0,7.0E9,3.85E9,1.12E11,4.2E10,1.3298779162666893E10,7.672399052103007E9,3.8746944030242066E9
0.2,8.12,3.87,139,49,1,1,0,0,0,0,0,8.119999999999999E9,3.87E9,1.39E11,4.9E10,3.4294394805757168E10,1.1229889104509151E10,5.716968835802206E9
0.27,9.9,1.5,91,30.000000000000004,1,1,0,0,0,0,0,9.9E9,1500000000,9.1E10,3.0E10,3.1796439931029636E10,1.4890805458798344E10,7.328349998348971E9
0.62,5.37,2.08,57,30.000000000000004,1,1,0,0,0,0,0,5.37E9,2080000000,5.7E10,3.0E10,3.738038075750572E10,1.6946618659437393E10,8.878154892970396E9
0.64,8.26,4.49,109,35,1,1,0,0,0,0,0,8.26E9,4.49E9,1.09E11,3.5E10,7.27331584109961E10,2.931393446817973E10,1.3157686452722048E10
0.42,6.8500000000000005,3.89,80,27,1,1,0,0,0,0,0,6.85E9,3.89E9,8.0E10,2.7E10,3.757261367843402E10,1.390041198450172E10,6.758313386183791E9
0.23,9.72,3.52,50,25,1,1,0,0,0,0,0,9.72E9,3.52E9,5.0E10,2.5E10,1.898416304676502E10,1.299272317635518E10,6.645853585787408E9
0.1,5.49,2.5500000000000003,96,27,1,1,0,0,0,0,0,5.49E9,2.55E9,9.6E10,2.7E10,1.4539283993244652E10,6.420288285513533E9,3.23267325602777E9
0.66,6.050000000000001,1.49,116.00000000000001,18,1,1,0,0,0,0,0,6.05E9,1490000000,1.16E11,1.8E10,7.861670977382346E10,2.5201641007666172E10,8.720944935132574E9
0.37,6.83,4.9,54,21,1,1,0,0,0,0,0,6.83E9,4.9E9,5.4E10,2.1E10,2.4282680543849884E10,1.196265991789556E10,5.906755675119672E9
0.32,6.550000000000001,3.35,149,33,1,1,0,0,0,0,0,6.55E9,3.35E9,1.49E11,3.3E10,5.21328340327492E10,1.1479114782077486E10,5.61006043817815E9
0.35,9.74,4.98,67,32,1,1,0,0,0,0,0,9.74E9,4.98E9,6.7E10,3.2E10,2.978074800246662E10,1.6160486665114895E10,8.260269612796347E9
0.5,8.57,2.24,89,23,1,1,0,0,0,0,0,8.57E9,2.24E9,8.9E10,2.3E10,4.878472456331156E10,2.016670403387262E10,8.820862222324955E9
0.43,5.050000000000001,4.63,124.00000000000001,34,1,1,0,0,0,0,0,5.05E9,4.63E9,1.24E11,3.4E10,5.619785683208073E10,1.1263360877751776E10,5.535352640238296E9
0.55,8.3,3.83,123.00000000000001,37,1,1,0,0,0,0,0,8.300000000000001E9,3.83E9,1.23E11,3.7E10,7.138456792314536E10,2.343725926245082E10,1.0863302042019526E10
0.08,9.09,2.39,60.00000000000001,43,1,1,0,0,0,0,0,9.09E9,2.39E9,6.0E10,4.3E10,1.3162010788548395E10,1.0093444770243649E10,5.174284401244898E9
0.49,5.29,4.680000000000001,92,6,1,1,0,0,0,0,0,5.29E9,4.68E9,9.2E10,6.0E9,4.777760898495487E10,1.3153643585056288E10,3.8912910443658333E9
0.73,7.87,3.24,95,33,1,1,0,0,0,0,0,7.87E9,3.24E9,9.5E10,3.3E10,7.147473258118637E10,3.730010248949354E10,1.6296360728747303E10
0.62,8.28,3.83,102,48,1,1,0,0,0,0,0,8.279999999999999E9,3.83E9,1.02E11,4.8E10,6.6386002024610405E10,2.721047076543318E10,1.3834970154278032E10
0.58,8.03,2.23,117.00000000000001,17,1,1,0,0,0,0,0,8.029999999999999E9,2.23E9,1.17E11,1.7E10,7.123216710954347E10,2.4458810505990105E10,8.595896037772085E9
0.39,9.040000000000001,3.9400000000000004,60.00000000000001,49,1,1,0,0,0,0,0,9.04E9,3.94E9,6.0E10,4.9E10,2.8914150098695904E10,1.5924395287528618E10,8.887389178375484E9
0.14,5.62,1.6,146,32,1,1,0,0,0,0,0,5.62E9,1600000000,1.46E11,3.2E10,2.527199481366795E10,7.074248589541707E9,3.557950335857941E9
0.26,5.75,4.79,65,24,1,1,0,0,0,0,0,5.75E9,4.79E9,6.5E10,2.4E10,2.1154605980387314E10,8.641860470685188E9,4.35385735055021E9
0.07,9.18,1.32,76,37,1,1,0,0,0,0,0,9.18E9,1320000000,7.6E10,3.7E10,1.3856493615126297E10,1.011144377945858E10,5.120015983329898E9
0.11,6.73,1.76,126.00000000000001,31.000000000000004,1,1,0,0,0,0,0,6.73E9,1760000000,1.26E11,3.1E10,1.9847212524159355E10,8.008969334506035E9,4.0183941529982796E9
0.08,5.390000000000001,2.62,75,40,1,1,0,0,0,0,0,5.39E9,2.62E9,7.5E10,4.0E10,1.095772085973259E10,6.083898140176502E9,3.1003842454067016E9
0.37,6.94,1.7200000000000002,105,40,1,1,0,0,0,0,0,6.94E9,1720000000,1.05E11,4.0E10,4.322174377738546E10,1.3090964152017723E10,6.620398084721847E9
0.07,9.860000000000001,4.78,53,18,1,1,0,0,0,0,0,9.86E9,4.78E9,5.3E10,1.8E10,1.2879214822320839E10,1.0741697489530298E10,5.339938062755237E9
0.72,5.0600000000000005,4.640000000000001,74,41,1,1,0,0,0,0,0,5.06E9,4.64E9,7.4E10,4.1E10,5.4696635052008E10,2.500236516976522E10,1.3574826910678076E10
0.34,7.6000000000000005,3.3400000000000003,81,38,1,1,0,0,0,0,0,7.6E9,3.34E9,8.1E10,3.8E10,3.2555361688666252E10,1.3094185570902727E10,6.7404203975168495E9
0.31,9.56,4.430000000000001,109,15.000000000000002,1,1,0,0,0,0,0,9.56E9,4.43E9,1.09E11,1.5E10,4.038561150407166E10,1.5699166497580936E10,6.604985061965576E9
0.4,5.42,3.85,130,37,1,1,0,0,0,0,0,5.42E9,3.85E9,1.3E11,3.7E10,5.525137338945823E10,1.1277085065077377E10,5.596039809494807E9
0.08,6.78,3.5100000000000002,64,18,1,1,0,0,0,0,0,6.78E9,3.51E9,6.4E10,1.8E10,1.1356712903995962E10,7.597563154978408E9,3.782096397815526E9
0.56,9.38,1.81,123.00000000000001,47,1,1,0,0,0,0,0,9.38E9,1810000000,1.23E11,4.7E10,7.300676421163258E10,2.6577413341452995E10,1.2940399692919033E10
0.11,9.63,4.390000000000001,72,12,1,1,0,0,0,0,0,9.63E9,4.39E9,7.2E10,1.2E10,1.64893992381693E10,1.1190461847494755E10,5.290022094277862E9
0.73,8.1,3.45,71,26,1,1,0,0,0,0,0,8.1E9,3.45E9,7.1E10,2.6E10,5.40168791388634E10,3.2916671344590263E10,1.4433734773952612E10
0.34,8.270000000000001,1.4300000000000002,110,6,1,1,0,0,0,0,0,8.27E9,1430000000,1.1E11,6.0E9,4.2857315233746254E10,1.4547373284179266E10,4.687026681052015E9
0.6,6.5600000000000005,1.6600000000000001,94,38,1,1,0,0,0,0,0,6.56E9,1660000000,9.4E10,3.8E10,5.902364066884813E10,2.109492342431602E10,1.0375449206654686E10
0.73,5.44,4.09,139,28,1,1,0,0,0,0,0,5.44E9,4.09E9,1.39E11,2.8E10,1.0293854336551685E11,3.4183955862179638E10,1.2527174215606829E10
0.7,9,4.65,111,30.000000000000004,1,1,0,0,0,0,0,9.0E9,4.65E9,1.11E11,3.0E10,8.039969748219626E10,3.819841387625904E10,1.5088593626932972E10
0.62,9.600000000000001,3.4600000000000004,142,15.000000000000002,1,1,0,0,0,0,0,9.6E9,3.46E9,1.42E11,1.5E10,9.168743775182967E10,3.2878857102259586E10,9.387307422749453E9
0.69,9.47,3.8800000000000003,76,6,1,1,0,0,0,0,0,9.47E9,3.88E9,7.6E10,6.0E9,5.537551510945324E10,3.241701446635513E10,5.574030723599703E9
0.55,7.7,1.1600000000000001,78,34,1,1,0,0,0,0,0,7.7E9,1160000000,7.8E10,3.4E10,4.636473518132929E10,2.016177056697135E10,1.0052680566880617E10
0.45,6.15,2.16,125.00000000000001,18,1,1,0,0,0,0,0,6.15E9,2.16E9,1.25E11,1.8E10,5.963182746721147E10,1.4148276112651396E10,5.978690603640694E9
0.64,6.960000000000001,1.06,70,35,1,1,0,0,0,0,0,6.96E9,1060000000,7.0E10,3.5E10,4.730532367018936E10,2.28203851234028E10,1.177331132766446E10
0.49,9.8,1.22,133,41,1,1,0,0,0,0,0,9.8E9,1220000000,1.33E11,4.1E10,7.016758653397336E10,2.358801004139229E10,1.1156896567415653E10
0.11,6.720000000000001,2.24,137,50,1,1,0,0,0,0,0,6.72E9,2.24E9,1.37E11,5.0E10,2.1048083008480377E10,8.00811599523196E9,4.0752162509567056E9
0.6,9.16,2.17,138,35,1,1,0,0,0,0,0,9.16E9,2.17E9,1.38E11,3.5E10,8.64634705317174E10,2.974600537192664E10,1.2783651428971483E10
0.3,7.390000000000001,4.79,144,5,1,1,0,0,0,0,0,7.39E9,4.79E9,1.44E11,5.0E9,4.8371951620926735E10,1.2351917148836603E10,4.0434456985385714E9
0.6,5.69,4.970000000000001,143,7,1,1,0,0,0,0,0,5.69E9,4.97E9,1.43E11,7.0E9,8.807543569365672E10,2.014482473860781E10,4.793076462572229E9
0.45,6.9,2.03,83,21,1,1,0,0,0,0,0,6.9E9,2.0299999999999998E9,8.3E10,2.1E10,4.114456938668573E10,1.4951559852937082E10,6.774133984017579E9
0.6,7.23,2.2600000000000002,83,45,1,1,0,0,0,0,0,7.23E9,2.26E9,8.3E10,4.5E10,5.269168862837273E10,2.208560691016736E10,1.1647559278276312E10
0.62,6.4,2.8600000000000003,89,39,1,1,0,0,0,0,0,6.4E9,2.86E9,8.9E10,3.9E10,5.761164924413998E10,2.1677273465274067E10,1.0843266477917215E10
0.28,6.3100000000000005,2.89,94,8,1,1,0,0,0,0,0,6.31E9,2.89E9,9.4E10,8.0E9,3.086257194914174E10,1.00048226473084E10,4.0290302897938957E9
0.73,7.800000000000001,4.66,100,40,1,1,0,0,0,0,0,7.8E9,4.66E9,1.0E11,4.0E10,7.510582283935536E10,3.8034569359380714E10,1.7928923461246655E10
0.68,7.260000000000001,1.4300000000000002,115.00000000000001,18,1,1,0,0,0,0,0,7.26E9,1430000000,1.15E11,1.8E10,8.052290959844656E10,3.100578190877609E10,9.960611811555687E9
0.63,9.700000000000001,4.32,85,38,1,1,0,0,0,0,0,9.7E9,4.32E9,8.5E10,3.8E10,5.713867508693605E10,2.9596783642048805E10,1.464125878146201E10
0.34,7.500000000000001,1.9600000000000002,78,13,1,1,0,0,0,0,0,7.5E9,1960000000,7.8E10,1.3E10,3.1469386884047802E10,1.2888118163003952E10,5.486485171347814E9
0.11,9.020000000000001,2.72,107,28,1,1,0,0,0,0,0,9.02E9,2.72E9,1.07E11,2.8E10,1.9795756594893444E10,1.0632620857352198E10,5.289112327714548E9
0.51,6.57,2.25,79,19,1,1,0,0,0,0,0,6.57E9,2.25E9,7.9E10,1.9E10,4.350904699790882E10,1.6231429998300386E10,7.035726044916018E9
0.27,5.5,3.85,110,30.000000000000004,1,1,0,0,0,0,0,5.5E9,3.85E9,1.1E11,3.0E10,3.3714278319644115E10,8.691967712415844E9,4.346225369275182E9
0.39,5.46,1.6700000000000002,129,49,1,1,0,0,0,0,0,5.46E9,1670000000,1.29E11,4.9E10,5.363999416053266E10,1.110271353209227E10,5.681068848482663E9
0.6,5.640000000000001,4.69,134,6,1,1,0,0,0,0,0,5.64E9,4.69E9,1.34E11,6.0E9,8.265547247481218E10,1.980340300129567E10,4.387294980032193E9
0.31,7.3100000000000005,4.6000000000000005,127.00000000000001,16,1,1,0,0,0,0,0,7.31E9,4.6E9,1.27E11,1.6E10,4.4412950919367325E10,1.2377194377244564E10,5.424975055245376E9
0.71,6.050000000000001,3.1900000000000004,102,35,1,1,0,0,0,0,0,6.05E9,3.19E9,1.02E11,3.5E10,7.4174294276565E10,2.9982609099562496E10,1.3567756103462435E10
0.24,7.28,4.69,69,8,1,1,0,0,0,0,0,7.28E9,4.69E9,6.9E10,8.0E9,2.2092421115286465E10,1.0447128554572329E10,4.359254086033294E9
0.14,9.13,1.26,146,31.000000000000004,1,1,0,0,0,0,0,9.13E9,1260000000,1.46E11,3.1E10,2.8290624953897175E10,1.1379177386477135E10,5.625917247757231E9
0.56,6.54,4,130,18,1,1,0,0,0,0,0,6.54E9,4.0E9,1.3E11,1.8E10,7.567712645736482E10,1.985617632474444E10,7.514406697438945E9
0.13,8.34,2.11,107,30.000000000000004,1,1,0,0,0,0,0,8.34E9,2.1099999999999998E9,1.07E11,3.0E10,2.116336825204084E10,1.0166409747874598E10,5.079148231419815E9
0.7,5.38,4.58,100,8,1,1,0,0,0,0,0,5.38E9,4.58E9,1.0E11,8.0E9,7.161371936714717E10,2.6039473458121883E10,5.642782828526104E9
0.07,7.840000000000001,3.83,130,29.000000000000004,1,1,0,0,0,0,0,7.84E9,3.83E9,1.3E11,2.9E10,1.6389542809766228E10,8.732445572216309E9,4.361947522221833E9
0.36,5.880000000000001,3.9200000000000004,120.00000000000001,31.000000000000004,1,1,0,0,0,0,0,5.88E9,3.92E9,1.2E11,3.1E10,4.6962683402189545E10,1.1112945650691208E10,5.444460729508267E9
0.51,8.770000000000001,4.84,61.00000000000001,32,1,1,0,0,0,0,0,8.77E9,4.84E9,6.1E10,3.2E10,3.540711756096469E10,1.92853413728406E10,1.0034302500271593E10
0.11,8.63,2.97,125.00000000000001,32,1,1,0,0,0,0,0,8.63E9,2.97E9,1.25E11,3.2E10,2.142827303942893E10,1.0220182880564226E10,5.105285119693334E9
0.09,7.800000000000001,4.57,80,49,1,1,0,0,0,0,0,7.8E9,4.57E9,8.0E10,4.9E10,1.4296768132858517E10,8.887306111900267E9,4.548672951672912E9
0.71,9.120000000000001,4.92,56,34,1,1,0,0,0,0,0,9.12E9,4.92E9,5.6E10,3.4E10,4.240469948655133E10,2.9219051556743675E10,1.6649401064236073E10
0.71,7.82,4.27,77,15.000000000000002,1,1,0,0,0,0,0,7.82E9,4.2699999999999995E9,7.7E10,1.5E10,5.693765167313383E10,3.1255740818907177E10,9.771535891818329E9
0.71,6.33,1.23,59.00000000000001,42,1,1,0,0,0,0,0,6.33E9,1230000000,5.9E10,4.2E10,4.372558707236762E10,2.4920385317112053E10,1.5013723069090918E10
0.15,7.920000000000001,4.680000000000001,62.00000000000001,40,1,1,0,0,0,0,0,7.92E9,4.68E9,6.2E10,4.0E10,1.6031502575068808E10,9.768942259881968E9,5.071115470698757E9
0.44,8.76,2.08,118.00000000000001,39,1,1,0,0,0,0,0,8.76E9,2080000000,1.18E11,3.9E10,5.6824995604165764E10,1.8865749363094593E10,9.175246451100264E9
0.16,8.72,1.29,84,48,1,1,0,0,0,0,0,8.72E9,1290000000,8.4E10,4.8E10,2.076406140945591E10,1.1027788469314886E10,5.702234047342282E9
0.35,7.82,4.550000000000001,58.00000000000001,41,1,1,0,0,0,0,0,7.82E9,4.55E9,5.8E10,4.1E10,2.5382779162259888E10,1.3118792799249933E10,7.103946454753274E9
0.61,8.26,3.1100000000000003,108,44,1,1,0,0,0,0,0,8.26E9,3.11E9,1.08E11,4.4E10,6.9100983291268E10,2.676782524120465E10,1.311012925752861E10
0.19,6.630000000000001,3.49,148,36,1,1,0,0,0,0,0,6.63E9,3.49E9,1.48E11,3.6E10,3.3488652801883373E10,9.08261371346475E9,4.559372023119325E9
0.41,5.680000000000001,1.1700000000000002,132,32,1,1,0,0,0,0,0,5.68E9,1170000000,1.32E11,3.2E10,5.7470548749582855E10,1.2058218703070438E10,5.835379030385731E9
0.16,6.25,4.17,106,40,1,1,0,0,0,0,0,6.25E9,4.17E9,1.06E11,4.0E10,2.220902130232704E10,8.066821699152139E9,4.1159530980446434E9
0.05,7.49,4.21,81,31.000000000000004,1,1,0,0,0,0,0,7.49E9,4.21E9,8.1E10,3.1E10,1.1164787774811947E10,8.050691739734926E9,4.0510086581493335E9
0.47,9.610000000000001,1.6600000000000001,57,7,1,1,0,0,0,0,0,9.61E9,1660000000,5.7E10,7.0E9,3.188301992343929E10,1.888494490971551E10,5.7257667663888855E9
0.72,7.69,3.91,137,43,1,1,0,0,0,0,0,7.69E9,3.91E9,1.37E11,4.3E10,1.0079289060799493E11,4.070156951270822E10,1.768407708191822E10
0.64,5.57,1.23,125.00000000000001,6,1,1,0,0,0,0,0,5.57E9,1230000000,1.25E11,6.0E9,8.200467645197906E10,2.2207637850139687E10,4.504258124054408E9
0.52,9.07,3.4200000000000004,116.00000000000001,7,1,1,0,0,0,0,0,9.07E9,3.42E9,1.16E11,7.0E9,6.467321915093447E10,2.3157017314857456E10,5.670194389693793E9
0.58,7.470000000000001,1.26,111,18,1,1,0,0,0,0,0,7.47E9,1260000000,1.11E11,1.8E10,6.751698872131778E10,2.2844715153404358E10,8.441366471718961E9
0.09,9.55,4.6000000000000005,101,41,1,1,0,0,0,0,0,9.55E9,4.6E9,1.01E11,4.1E10,1.7778939647867725E10,1.088889045880262E10,5.507792224174341E9
0.38,6.91,1.82,104,45,1,1,0,0,0,0,0,6.91E9,1820000000,1.04E11,4.5E10,4.3803736083004295E10,1.3294331573660917E10,6.8181797323457E9
0.27,8.18,3.43,89,7,1,1,0,0,0,0,0,8.18E9,3.43E9,8.9E10,7.0E9,3.0000841832690525E10,1.2472576846406807E10,4.713813645554391E9
0.18,6.930000000000001,4.67,102,29.000000000000004,1,1,0,0,0,0,0,6.93E9,4.67E9,1.02E11,2.9E10,2.4041550599569828E10,9.210579712861538E9,4.608422019859467E9
0.41,7.87,3.74,53,27,1,1,0,0,0,0,0,7.87E9,3.74E9,5.3E10,2.7E10,2.637306733687522E10,1.4373022534668547E10,7.424520599825606E9
0.27,8.860000000000001,3.45,86,12,1,1,0,0,0,0,0,8.86E9,3.45E9,8.6E10,1.2E10,2.9687267261800026E10,1.3388005424254787E10,5.689366014306645E9
0.59,6.3100000000000005,2.41,54,41,1,1,0,0,0,0,0,6.31E9,2.41E9,5.4E10,4.1E10,3.444690728894131E10,1.7363950456344055E10,9.996105254386229E9
0.24,9.41,4.390000000000001,52,33,1,1,0,0,0,0,0,9.41E9,4.39E9,5.2E10,3.3E10,1.9631338565235985E10,1.2854153854795626E10,6.773877845172657E9
0.69,5.680000000000001,2.9200000000000004,114,19,1,1,0,0,0,0,0,5.68E9,2.92E9,1.14E11,1.9E10,8.042049897314679E10,2.7024727774514553E10,9.29569357252023E9
0.57,7.420000000000001,2.83,53,16,1,1,0,0,0,0,0,7.42E9,2.83E9,5.3E10,1.6E10,3.340042205690246E10,1.8491193392706432E10,7.883774092730149E9
0.05,7.57,1.8900000000000001,80,49,1,1,0,0,0,0,0,7.57E9,1890000000,8.0E10,4.9E10,1.1190798254844608E10,8.134408229365716E9,4.1240334544984636E9
0.72,9.55,2.3400000000000003,141,23,1,1,0,0,0,0,0,9.55E9,2.34E9,1.41E11,2.3E10,1.0419368548685939E11,4.6846717009341965E10,1.3988316172715717E10
0.52,7.300000000000001,4.4,114,23,1,1,0,0,0,0,0,7.3E9,4.4E9,1.14E11,2.3E10,6.278361998019508E10,1.9259911417352154E10,8.164403824384831E9
0.12,6.0600000000000005,3.22,56,13,1,1,0,0,0,0,0,6.06E9,3.22E9,5.6E10,1.3E10,1.2051663787606215E10,7.199565601269816E9,3.518882911478601E9
0.63,7.16,2.8400000000000003,113,21,1,1,0,0,0,0,0,7.16E9,2.84E9,1.13E11,2.1E10,7.383874329801445E10,2.571397302027491E10,9.62741068791833E9
0.28,7.510000000000001,3.7,126.00000000000001,37,1,1,0,0,0,0,0,7.51E9,3.7E9,1.26E11,3.7E10,4.068635139972031E10,1.1989240863564314E10,5.9820329448001175E9
0.55,9.63,2.47,63.00000000000001,21,1,1,0,0,0,0,0,9.63E9,2.47E9,6.3E10,2.1E10,3.898329895637496E10,2.2459356470063194E10,9.9710400540682E9
0.42,8.07,1.6800000000000002,88,9,1,1,0,0,0,0,0,8.07E9,1680000000,8.8E10,9.0E9,4.164017785789505E10,1.6223395497477325E10,5.574443189190534E9
0.07,7.010000000000001,2.27,145,19,1,1,0,0,0,0,0,7.01E9,2.27E9,1.45E11,1.9E10,1.666742793359513E10,7.8262036800731735E9,3.8601651939810867E9
0.07,7.8500000000000005,3.91,56,35,1,1,0,0,0,0,0,7.85E9,3.91E9,5.6E10,3.5E10,1.1219846877590477E10,8.617376932273996E9,4.389977220934434E9
0.54,7.62,1.32,65,36,1,1,0,0,0,0,0,7.62E9,1320000000,6.5E10,3.6E10,3.860498778173017E10,1.8736815966480244E10,9.90225621304542E9
0.26,7.8100000000000005,4.300000000000001,92,6,1,1,0,0,0,0,0,7.81E9,4.3E9,9.2E10,6.0E9,2.9698840088416126E10,1.1770830654744114E10,4.359522348450946E9
0.27,6.5600000000000005,3.24,100,17,1,1,0,0,0,0,0,6.56E9,3.24E9,1.0E11,1.7E10,3.1788154689774303E10,1.022653262264037E10,4.747584718213832E9
0.16,6.11,1.32,135,31.000000000000004,1,1,0,0,0,0,0,6.11E9,1320000000,1.35E11,3.1E10,2.673113535330498E10,7.937813704036073E9,3.9787526349293203E9
0.75,9.790000000000001,1.9700000000000002,77,48,1,1,0,0,0,0,0,9.79E9,1970000000,7.7E10,4.8E10,6.0197386095598404E10,4.030875143660526E10,2.393456346378644E10
0.22,6.4,3.72,58.00000000000001,24,1,1,0,0,0,0,0,6.4E9,3.72E9,5.8E10,2.4E10,1.7751303870249E10,8.863819646487198E9,4.495281466480295E9
0.74,8.46,1.31,109,26,1,1,0,0,0,0,0,8.460000000000001E9,1310000000,1.09E11,2.6E10,8.28594208059919E10,4.297011097681912E10,1.5108198648685629E10
0.26,8.53,2.27,102,47,1,1,0,0,0,0,0,8.529999999999999E9,2.27E9,1.02E11,4.7E10,3.2831578417152695E10,1.2869258509756937E10,6.628738337993583E9
0.23,7.11,2.8000000000000003,57,29.000000000000004,1,1,0,0,0,0,0,7.11E9,2.8E9,5.7E10,2.9E10,1.858440651264654E10,9.913560411943615E9,5.114589829772879E9
0.35,5.12,1.61,60.00000000000001,44,1,1,0,0,0,0,0,5.12E9,1610000000,6.0E10,4.4E10,2.43277584773532E10,9.072888483599823E9,4.889239459650863E9
